compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook Intel Pentium Gold 8GB RAM 256GB SSD 15.6"" ",Hp,intel pentium,8.0,gráficos intel uhd 610,15.6,256.0,windows 10 home,479990.0,429990.0,https://www.falabella.com/falabella-cl/product/14550860/Notebook-Intel-Pentium-Gold-8GB-RAM-256GB-SSD-15.6-/14550860
Falabella,"Macbook Air 13.3"" Intel Core i5 8GB RAM 128GB SSD ",Apple,intel core i5,8.0,intel hd graphics 6000,13.3,128.0,macos,799990.0,749990.0,https://www.falabella.com/falabella-cl/product/5771915/Macbook-Air-13.3-Intel-Core-i5-8GB-RAM-128GB-SSD/5771915
Falabella,Notebook 240 G7 Core N4020/4Gb/500Gb/14/W10H ,Hp,intel celeron,4.0,n/a,14.0,512.0,windows 10 home,429990.0,339980.0,https://www.falabella.com/falabella-cl/product/14652389/Notebook-240-G7-Core-N4020-4Gb-500Gb-14-W10H/14652389
Falabella,"Notebook Intel Core i5-10210U 8GB RAM 256GB SSD NVIDIA GeForce MX130 15.6"" ",Hp,intel core i5,8.0,nvidia geforce mx130,15.6,256.0,windows 10 home,709990.0,659990.0,https://www.falabella.com/falabella-cl/product/14624645/Notebook-Intel-Core-i5-10210U-8GB-RAM-256GB-SSD-NVIDIA-GeForce-MX130-15.6-/14624645
Falabella,"Notebook Intel Core i5 8GB RAM 256GB SSD 13.3"" ",Hp,intel core i5,8.0,gráficas intel uhd,13.3,256.0,windows 10 home,759990.0,709990.0,https://www.falabella.com/falabella-cl/product/8116878/Notebook-Intel-Core-i5-8GB-RAM-256GB-SSD-13.3-/8116878
Falabella,"Notebook Ideapad 3I Intel Core i3-1005G1 4GB RAM 128GB SSD 14"" ",Lenovo,intel core i3,4.0,integrated graphics,14.0,128.0,windows 10 home,449990.0,399990.0,https://www.falabella.com/falabella-cl/product/13785348/Notebook-Ideapad-3I-Intel-Core-i3-1005G1-4GB-RAM-128GB-SSD-14-/13785348
Falabella,"Notebook Intel Core i5 12GB RAM 512GB SSD 15.6"" ",Acer,intel core i5,12.0,uhd graphics,15.6,512.0,windows 10 home,699990.0,629990.0,https://www.falabella.com/falabella-cl/product/14433768/Notebook-Intel-Core-i5-12GB-RAM-512GB-SSD-15.6-/14433768
Falabella,Notebook Intel Celeron 4GB 64Gb 14 pulgadas ,Hyundai,intel celeron,4.0,gráficos hd intel® 500,14.0,64.0,windows 10 home,309990.0,259990.0,https://www.falabella.com/falabella-cl/product/14542840/Notebook-Intel-Celeron-4GB-64Gb-14-pulgadas/14542840
Falabella,"Notebook 15-CW1020LA AMD Ryzen 5 8GB RAM 256GB SSD 15.6"" ",Hp,amd ryzen r5,8.0,gráficos amd radeon vega 8,15.6,256.0,windows 10 home,659990.0,609990.0,https://www.falabella.com/falabella-cl/product/14403533/Notebook-15-CW1020LA-AMD-Ryzen-5-8GB-RAM-256GB-SSD-15.6-/14403533
Falabella,"Notebook Aspire 5 Intel Core i3-1005G1 12GB RAM 512GB SSD 15.6"" ",Acer,intel core i3,12.0,uhd graphics,15.6,512.0,windows 10 home,549990.0,499990.0,https://www.falabella.com/falabella-cl/product/14433770/Notebook-Aspire-5-Intel-Core-i3-1005G1-12GB-RAM-512GB-SSD-15.6-/14433770
Falabella,"Notebook TUF Gaming FX505GT-BQ048T Intel Core i5 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15,6"" ",Asus,intel core i5,8.0,nvidia geforce gtx 1650,15.6,512.0,windows 10,879990.0,799990.0,"https://www.falabella.com/falabella-cl/product/8439891/Notebook-TUF-Gaming-FX505GT-BQ048T-Intel-Core-i5-8GB-RAM-512GB-SSD-NVIDIA-GeForce-GTX-1650-15,6-/8439891"
Falabella,"Macbook Air 13"" Intel Core i3 8GB RAM 256GB SSD Space Gray ",Apple,intel core i3,8.0,uhd graphics,13.3,256.0,macos,1149990.0,1049990.0,https://www.falabella.com/falabella-cl/product/9062142/Macbook-Air-13-Intel-Core-i3-8GB-RAM-256GB-SSD-Space-Gray/9062142
Falabella,"Notebook Gamer Intel Core i5 8GB RAM + 16GB Intel Optane 256GB SSD NVIDIA GeForce GTX 1050 15,6"" ",Hp,intel core i5,8.0,nvidia geforce gtx 1050,15.6,256.0,windows 10 home,909990.0,859990.0,"https://www.falabella.com/falabella-cl/product/8116887/Notebook-Gamer-Intel-Core-i5-8GB-RAM-+-16GB-Intel-Optane-256GB-SSD-NVIDIA-GeForce-GTX-1050-15,6-/8116887"
Falabella,"Notebook VivoBook X413FA Intel Core i3 4GB RAM 128GB SSD 14"" ",Asus,intel core i3,4.0,intel hd graphics 520,14.0,128.0,windows 10 home,469990.0,449990.0,https://www.falabella.com/falabella-cl/product/14443445/Notebook-VivoBook-X413FA-Intel-Core-i3-4GB-RAM-128GB-SSD-14-/14443445
Falabella,"Notebook 240 G7 Intel Core i5-8265U 4GB RAM 1TB 14"" Windows 10 Pro ",Hp,intel core i5,4.0,gráficos intel uhd 620,14.0,512.0,windows 10,619990.0,569990.0,https://www.falabella.com/falabella-cl/product/14526160/Notebook-240-G7-Intel-Core-i5-8265U-4GB-RAM-1TB-14-Windows-10-Pro/14526160
Falabella,"Notebook VivoBook X512JA Intel Core i7-1065G7 8GB RAM + 32GB Intel Optane 512GB SSD 15.6"" ",Asus,intel core i7,8.0,uhd graphics,15.6,512.0,windows 10 home,799990.0,759990.0,https://www.falabella.com/falabella-cl/product/11967397/Notebook-VivoBook-X512JA-Intel-Core-i7-1065G7-8GB-RAM-+-32GB-Intel-Optane-512GB-SSD-15.6-/11967397
Falabella,"Notebook Intel Pentium Gold 4GB RAM 500GB HDD 15.6"" ",Hp,intel pentium,4.0,gráficos intel uhd 610,15.6,512.0,windows 10 home,449990.0,399990.0,https://www.falabella.com/falabella-cl/product/14448034/Notebook-Intel-Pentium-Gold-4GB-RAM-500GB-HDD-15.6-/14448034
Falabella,"Matebook D14 AMD Ryzen R5 8GB RAM 512GB SSD 14"" ",Huawei,amd ryzen r5,8.0,radeon? vega 8 graphic (integrated graphics card),14.0,512.0,windows 10 home,699990.0,649990.0,https://www.falabella.com/falabella-cl/product/8608976/Matebook-D14-AMD-Ryzen-R5-8GB-RAM-512GB-SSD-14-/8608976
Falabella,"Notebook 240 G7 Intel Core i3-1005G1 4GB RAM 1TB HDD 14"" ",Hp,intel core i3,4.0,gráficos intel uhd,14.0,512.0,windows 10 home,469990.0,419990.0,https://www.falabella.com/falabella-cl/product/14526159/Notebook-240-G7-Intel-Core-i3-1005G1-4GB-RAM-1TB-HDD-14-/14526159
Falabella,"Notebook VivoBook X413FA Intel Core i5-10210U 8GB RAM + 16GB Intel Optane 256GB SSD 14"" ",Asus,intel core i5,8.0,uhd graphics,14.0,256.0,windows 10,689990.0,629990.0,https://www.falabella.com/falabella-cl/product/11682897/Notebook-VivoBook-X413FA-Intel-Core-i5-10210U-8GB-RAM-+-16GB-Intel-Optane-256GB-SSD-14-/11682897
Falabella,"Notebook Gamer 15-DK1022  Intel Core i7-10750H 8GB RAM + 16GB Intel Optane 256GB SSD NVIDIA GeForce GTX 1650 15.6"" ",Hp,intel core i7,8.0,nvidia geforce gtx 1650,15.6,256.0,windows 10 home,1149990.0,1099990.0,https://www.falabella.com/falabella-cl/product/14403531/Notebook-Gamer-15-DK1022-Intel-Core-i7-10750H-8GB-RAM-+-16GB-Intel-Optane-256GB-SSD-NVIDIA-GeForce-GTX-1650-15.6-/14403531
Falabella,Notebook Hp 240 Cel N4020 4Gb 500Gb Win10H ,Hp,intel celeron,4.0,gráficos intel uhd 600,14.0,512.0,windows 10 home,399900.0,349900.0,https://www.falabella.com/falabella-cl/product/14473446/Notebook-Hp-240-Cel-N4020-4Gb-500Gb-Win10H/14473446
Falabella,"Notebook VivoBook S532FL-BQ332T Intel Core i7 8GB RAM 512Gb SSD 15,6"" ",Asus,intel core i7,8.0,nvidia geforce mx250,15.6,512.0,windows 10 home,1059990.0,959990.0,"https://www.falabella.com/falabella-cl/product/8477958/Notebook-VivoBook-S532FL-BQ332T-Intel-Core-i7-8GB-RAM-512Gb-SSD-15,6-/8477958"
