compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"Lotus 14"" FHD Celeron N3350 4GB 128GB SSD Free DOS",Gear,"Intel® Celeron® N3350, hasta 2.40GHz",4.0,Intel® HD Graphics 500MHZ,14.0,128.0,Free DOS,199990,189990,https://www.pcfactory.cl//producto/32739-gear-notebook-lotus-14-fhd-celeron-n3350-4gb-128gb-ssd-free-dos
Pc Factory,"Lotus 14"" FHD Celeron N3350 4GB 128GB SSD Windows 10 Grey",Gear,"Intel® Celeron® N3350, hasta 2.40GHz",4.0,Intel® HD Graphics 500MHZ,14.0,128.0,Windows 10,269990,256490,https://www.pcfactory.cl//producto/35783-gear-notebook-lotus-14-fhd-celeron-n3350-4gb-128gb-ssd-windows-10-grey
Pc Factory,"240 G7 14"" HD Intel Celeron N4100 4GB 500GB Windows 10",HP,"Intel® Celeron® N4100, 1,1 GHz hasta 2.4GHz (4MB caché)",4.0,Intel® Graphics,14.0,500.0,Windows 10 Home Single (64 bits),329890,319990,https://www.pcfactory.cl//producto/38855-hp-notebook-240-g7-14-hd-intel-celeron-n4100-4gb-500gb-windows-10
Pc Factory,"Ultraliviano VivoBook X420FA 14"" FHD Pentium Gold 5405U 4GB 256GB SSD Windows 10 X420FA-EK289T",Asus,"Intel® Pentium® Gold 5405U, 2.30 GHz (2M Caché)",4.0,Intel® HD Graphics 520,14.0,256.0,Windows 10 Home (64bit),381490,369990,https://www.pcfactory.cl//producto/36671-asus-notebook-ultraliviano-vivobook-x420fa-14-fhd-pentium-gold-5405u-4gb-256gb-ssd-windows-10-x420fa-ek289t
Pc Factory,"Ideapad S145 14"" HD Intel Core i3-8130U 4GB 1TB Windows 10 Grey",Lenovo,"Intel® Core™ i3 8130U, 2.20GHz hasta 3,40GHz (4M Cache)",4.0,Intel® Graphincs,14.0,1000.0,Windows 10 Home,399990,379990,https://www.pcfactory.cl//producto/37577-lenovo-notebook-ideapad-s145-14-hd-intel-core-i3-8130u-4gb-1tb-windows-10-grey
Pc Factory,"Ultraliviano VivoBook X420FA 14"" FHD Pentium Gold 5405U 4GB 256GB SSD Windows 10 X412FA-EB1235T",Asus,"Intel® Pentium® Gold 5405U, 2.3 GHz (2M Caché)",4.0,Tarjeta Gráfica Integrada: Intel® UHD 610,14.0,256.0,Windows 10 (64bit),399990,387990,https://www.pcfactory.cl//producto/38368-asus-notebook-ultraliviano-vivobook-x420fa-14-fhd-pentium-gold-5405u-4gb-256gb-ssd-windows-10-x412fa-eb1235t
Pc Factory,"240 G7 14"" HD Intel Core i3-1005G1 4GB 1TB Windows 10",HP,"Intel® Core™ i3-1005G1, 1,2GHz hasta 3,4GHz (4MB caché)",4.0,Intel® UHD,14.0,1000.0,Windows 10 Home (64bits),412390,399990,https://www.pcfactory.cl//producto/38857-hp-notebook-240-g7-14-hd-intel-core-i3-1005g1-4gb-1tb-windows-10
Pc Factory,"Ideapad 5 14"" FHD Intel i3-1005G1 4GB 256GB SSD Windows 10 WiFi 6 Platinum Grey",Lenovo,"Intel® Core™ i3-1005G1, 1,20GHz hasta 3,40GHz (4M Cache)",4.0,Tarjeta Gráfica Integrada: Intel® Graphics,14.0,256.0,Windows 10 Home,432990,419990,https://www.pcfactory.cl//producto/38333-lenovo-notebook-ideapad-5-14-fhd-intel-i3-1005g1-4gb-256gb-ssd-windows-10-wifi-6-platinum-grey
Pc Factory,"250 G7 15.6"" HD Intel i3-1005G1 4GB 1TB Windows 10",HP,"Intel® Core™ i3-1005G1, 1,20 GHz, hasta 3,4 GHz (4MB de caché)",4.0,Intel® UHD,15.6,1000.0,Windows 10 Home (64bit),432990,419990,https://www.pcfactory.cl//producto/37978-hp-notebook-250-g7-15-6-hd-intel-i3-1005g1-4gb-1tb-windows-10
Pc Factory,"Dell Inspiron 14"" HD Intel i3-1005G1 4GB 1TB Windows 10",Dell,"Intel® Core™ i3-1005G1, 1,20 GHz hasta 3.4GHz (4MB cache)",4.0,Intel® UHD,14.0,1000.0,Windows 10 Home (64 bit),449990,436490,https://www.pcfactory.cl//producto/36866-dell-notebook-dell-inspiron-14-hd-intel-i3-1005g1-4gb-1tb-windows-10
Pc Factory,"Iris 14"" FHD Intel Core i3-1005G1 8GB 256GB SSD Windows 10 Grey",Gear,"Intel® Core i3-1005G1, 1.2GHz hasta 3.40GHz",8.0,Intel® HD Graphics,14.0,256.0,Windows 10,463890,449990,https://www.pcfactory.cl//producto/39253-gear-notebook-iris-14-fhd-intel-core-i3-1005g1-8gb-256gb-ssd-windows-10-grey
Pc Factory,"Aspire 3 14"" FHD Ryzen 5-3500U 8GB 256GB SSD Windows 10 SL A314-22-R4P7-1 Black",Acer,"AMD Ryzen™ 5 3500U, 2.10GHz hasta 3.70GHz (2M Caché)",8.0,AMD Radeon™ Vega 8,14.0,256.0,Windows 10 Home SL,499990,484990,https://www.pcfactory.cl//producto/37876-acer-notebook-aspire-3-14-fhd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-sl-a314-22-r4p7-1-black
Pc Factory,"Ideapad S145 15.6"" HD Intel Core i5-1035G4 4GB 1TB Windows 10 Grey",Lenovo,"Intel® Core™ i5-1035G4, 1.1GHz hasta 3,70 GHz (6M Cache)",4.0,Intel® Iris® Plus,15.6,1000.0,Windows 10 Home,549990,522490,https://www.pcfactory.cl//producto/37576-lenovo-notebook-ideapad-s145-15-6-hd-intel-core-i5-1035g4-4gb-1tb-windows-10-grey
Pc Factory,"Dell Inspiron 15.6"" FHD Intel i5-1035G1 8GB 256GB SSD Windows 10",Dell,"Intel® Core™ i5-1035G1, hasta 3.60GHz (6MB cache)",8.0,Intel® UHD,15.6,256.0,Windows 10 (64 bit),599990,581990,https://www.pcfactory.cl//producto/35720-dell-notebook-dell-inspiron-15-6-fhd-intel-i5-1035g1-8gb-256gb-ssd-windows-10
Pc Factory,"Ultraliviano Matebook D 15.6"" FHD Ryzen 5-3500U 8GB 256GB SSD Windows 10 Silver",Huawei,"AMD Ryzen 5 3500U, 2.1GHz hasta  3.7GHz (4MB caché)",8.0,Radeon™ Vega 8 Graphics,15.6,256.0,Windows 10 Home,619990,601390,https://www.pcfactory.cl//producto/37657-huawei-notebook-ultraliviano-matebook-d-15-6-fhd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-silver
Pc Factory,"2en1 Pavilion 14"" HD Intel i3-8145U 4GB 256GB SSD Windows 10 Touch Natural Silver 14-dh0025la",HP,"Intel® Core™ i3-8145U, 2,1GHz hasta 3,9GHz (4MB caché)",4.0,Intel® UHD 620,14.0,256.0,Windows 10 Home,619990,601390,https://www.pcfactory.cl//producto/37285-hp-notebook-2en1-pavilion-14-hd-intel-i3-8145u-4gb-256gb-ssd-windows-10-touch-natural-silver-14-dh0025la
Pc Factory,"240 G7 14"" HD Intel i5-1035G1 4GB 1TB Windows 10 Pro",HP,Intel® Core™ i5-1035G1 1.0 GHz hasta 3.6GHz (6MB caché),4.0,Tarjeta Gráfica Integrada: Intel® UHD,14.0,1000.0,Windows 10 Pro (64bits),639190,619990,https://www.pcfactory.cl//producto/39404-hp-notebook-240-g7-14-hd-intel-i5-1035g1-4gb-1tb-windows-10-pro
Pc Factory,"Ultraliviano Matebook D 14"" FHD Ryzen 5-3500U 8GB 512GB SSD Windows 10 Space Grey",Huawei,"AMD Ryzen 5-3500U, 2.1GHz hasta 3.7GHz (4M Caché)",8.0,Tarjeta Gráfica Integrada: Radeon™ Vega 8,14.0,512.0,Windows 10 (64bit),649990,630490,https://www.pcfactory.cl//producto/36681-huawei-notebook-ultraliviano-matebook-d-14-fhd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-space-grey
Pc Factory,"15.6"" HD Intel i5-10210U 8GB 256GB SSD NVIDIA GeForce MX130 2GB Windows 10 Natural Silver 15-dw1051la",HP,"Intel® Core™ i5-10210U 1,6 GHz, hasta 4,2 GHz (6MB caché)",8.0,NVIDIA® GeForce® MX130 (GDDR5 de 2 GB dedicada),15.6,256.0,Windows 10 Home (64 bits),649990,630490,https://www.pcfactory.cl//producto/38552-hp-notebook-15-6-hd-intel-i5-10210u-8gb-256gb-ssd-nvidia-geforce-mx130-2gb-windows-10-natural-silver-15-dw1051la
Pc Factory,"Ideapad 3i 14"" FHD Intel i5-1035G4 8GB 256GB SSD Iris Plus Windows 10 WiFi 6 Abbys Blue",Lenovo,"Intel® Core™ i5-1035G4, 1,10GHz hasta 3,70GHz (6M Cache)",8.0,Intel® Iris Plus Graphics,14.0,256.0,Windows 10 Home,649990,630490,https://www.pcfactory.cl//producto/37222-lenovo-notebook-ideapad-3i-14-fhd-intel-i5-1035g4-8gb-256gb-ssd-iris-plus-windows-10-wifi-6-abbys-blue
Pc Factory,"Dell Vostro 14"" HD Intel i5-10210U 8GB 1TB Windows 10 Pro",Dell,"Intel® Core™ i5 10210U, 1,60GHz hasta 4.20GHz (6MB cache)",8.0,Intel® UHD Graphics,14.0,1000.0,Windows 10 Professional (64 bit),679990,659590,https://www.pcfactory.cl//producto/36482-dell-notebook-dell-vostro-14-hd-intel-i5-10210u-8gb-1tb-windows-10-pro
Pc Factory,Ultraliviano Matebook D 15 FHD Ryzen 5-3500U 8GB 1TB + 256GB SSD Windows 10 Silver,Huawei,"AMD Ryzen™ 5-3500U, 2.1GHz hasta 3.7GHz (4M Caché)",8.0,Tarjeta Gráfica Integrada: Radeon™ Vega 8,15.6,256.0,Windows 10 (64bit),699990,678990,https://www.pcfactory.cl//producto/36682-huawei-notebook-ultraliviano-matebook-d-15-fhd-ryzen-5-3500u-8gb-1tb--256gb-ssd-windows-10-silver
