compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"Notebook Lotus 14"" FHD Celeron N3350 4GB 128GB SSD Free DOS",Marca: Gear,"Procesador: Intel® Celeron® N3350, hasta 2.40GHz",Memoria RAM: 4 GB LPDDR3 1600MHz (Máx. 4GB de Memoria RAM) 1 Slot,Tarjeta Gráfica: Intel® HD Graphics 500MHZ,"Pantalla: 14"" / FHD 1920x1080 / IPS / 60Hz / Anti-Glare / IPS-level / 72% NTSC / 178° ángulo de visión",Almacenamiento: 128GB SSD ,Sistema Operativo: Free DOS, $      199.990, $      189.990,https://www.pcfactory.cl//producto/32739-gear-notebook-lotus-14-fhd-celeron-n3350-4gb-128gb-ssd-free-dos
Pc Factory,"Notebook Lotus 14"" FHD Celeron N3350 4GB 128GB SSD Windows 10 Grey ",Marca: Gear,"Procesador: Intel® Celeron® N3350, hasta 2.40GHz",Memoria RAM: 4GB LPDDR3 1600MHz on-board(Máx. 4GB de Memoria RAM) ,Tarjeta Gráfica: Intel® HD Graphics 500MHZ,"Pantalla: 14"" / FHD 1920x1080 / IPS / 60Hz / Anti-Glare / IPS-level / 72% NTSC / 178° ángulo de visión",Almacenamiento: 128GB SSD ,Sistema Operativo: Windows 10, $      269.990, $      256.490,https://www.pcfactory.cl//producto/35783-gear-notebook-lotus-14-fhd-celeron-n3350-4gb-128gb-ssd-windows-10-grey
Pc Factory,"Notebook 240 G7 14"" HD Intel Celeron N4100 4GB 500GB Windows 10 ",Marca: HP,"Procesador: Intel® Celeron® N4100, 1,1 GHz hasta 2.4GHz (4MB caché)",Memoria RAM: 4GB (1x4GB) DDR4 2400(Máx. 8GB de Memoria RAM) 2 Slot,Tarjeta Gráfica: Intel® Graphics ,"Pantalla: 14"" / 1366 x 768 / retroiluminación LCD HD AG LED SVA 220 slim",Almacenamiento: HDD 500GB 5400RPM,Sistema Operativo: Windows 10 Home Single (64 bits), $      329.890, $      319.990,https://www.pcfactory.cl//producto/38855-hp-notebook-240-g7-14-hd-intel-celeron-n4100-4gb-500gb-windows-10
Pc Factory,"Notebook Ultraliviano VivoBook X420FA 14"" FHD Pentium Gold 5405U 4GB 256GB SSD Windows 10 X420FA-EK289T",Marca: Asus,"Procesador: Intel® Pentium® Gold 5405U, 2.30 GHz (2M Caché)",Memoria RAM: 4GB LPDDR3 (on board),Tarjeta Gráfica: Intel® HD Graphics 520,"Pantalla: 14"" / FHD 1920x1080 16:9 Anti-glare",Almacenamiento: 256GB SSD M.2 NVMe™ PCIe® 3.0,Sistema Operativo: Windows 10 Home (64bit), $      381.490, $      369.990,https://www.pcfactory.cl//producto/36671-asus-notebook-ultraliviano-vivobook-x420fa-14-fhd-pentium-gold-5405u-4gb-256gb-ssd-windows-10-x420fa-ek289t
Pc Factory,"Notebook Ideapad S145 14"" HD Intel Core i3-8130U 4GB 1TB Windows 10 Grey",Marca: Lenovo,"Procesador:  Intel® Core™ i3 8130U, 2.20GHz hasta 3,40GHz (4M Cache)",Memoria RAM: 4GB DDR4 2133Mhz (Máx. 12GB de Memoria RAM) 1 Slot,Tarjeta Gráfica: Intel® Graphincs,"Pantalla: 14"" HD TN  AG 220N /  1280 x 720 ",Almacenamiento: 1TB HD 5400rpm 2.5 7MM,Sistema Operativo: Windows 10 Home, $      399.990, $      379.990,https://www.pcfactory.cl//producto/37577-lenovo-notebook-ideapad-s145-14-hd-intel-core-i3-8130u-4gb-1tb-windows-10-grey
Pc Factory,"Notebook Ultraliviano VivoBook X420FA 14"" FHD Pentium Gold 5405U 4GB 256GB SSD Windows 10 X412FA-EB1235T",Marca: Asus,"Procesador: Intel® Pentium® Gold 5405U, 2.3 GHz (2M Caché)",Memoria RAM: 4GB DDR4 (on board)(Máx. 12GB de Memoria RAM) 1 Slot,Tarjeta Gráfica Integrada: Intel® UHD 610,"Pantalla: 14"" / FHD 1920 x 1080 / LCD 250nits 16:9 Anti-glare  ",Almacenamiento: 256GB SSD M.2 NVMe™ PCIe® 3.0,Sistema Operativo: Windows 10 (64bit), $      399.990, $      387.990,https://www.pcfactory.cl//producto/38368-asus-notebook-ultraliviano-vivobook-x420fa-14-fhd-pentium-gold-5405u-4gb-256gb-ssd-windows-10-x412fa-eb1235t
Pc Factory,"Notebook 240 G7 14"" HD Intel Core i3-1005G1 4GB 1TB Windows 10",Marca: HP,"Procesador: Intel® Core™ i3-1005G1, 1,2GHz hasta 3,4GHz (4MB caché)",Memoria RAM: 4 GB de SDRAM DDR4-2666 (1x4GB) (Máx. 16GB de Memoria RAM) 2 Slot,Tarjeta Gráfica: Intel® UHD,"Pantalla: 14"" / 1366 x 768 / 220 nits 45% NTSC",Almacenamiento: SATA de 1 TB y 5400 rpm,Sistema Operativo: Windows 10 Home (64bits), $      412.390, $      399.990,https://www.pcfactory.cl//producto/38857-hp-notebook-240-g7-14-hd-intel-core-i3-1005g1-4gb-1tb-windows-10
Pc Factory,"Notebook Ideapad 5 14"" FHD Intel i3-1005G1 4GB 256GB SSD Windows 10 WiFi 6 Platinum Grey",Marca: Lenovo,"Procesador:  Intel® Core™ i3-1005G1, 1,20GHz hasta 3,40GHz (4M Cache)",Memoria RAM: 4GB DDR4 3200Mhz(Máx. 16GB de Memoria RAM) onboard,Tarjeta Gráfica Integrada: Intel® Graphics,"Pantalla: 14"" / FHD 1920x1080 / TN AG 3.0T 250N",Almacenamiento: 256GB SSD M.2 2242 NVME TLC,Sistema Operativo: Windows 10 Home, $      432.990, $      419.990,https://www.pcfactory.cl//producto/38333-lenovo-notebook-ideapad-5-14-fhd-intel-i3-1005g1-4gb-256gb-ssd-windows-10-wifi-6-platinum-grey
Pc Factory,"Notebook 250 G7 15.6"" HD Intel i3-1005G1 4GB 1TB Windows 10",Marca: HP,"Procesador: Intel® Core™ i3-1005G1, 1,20 GHz, hasta 3,4 GHz (4MB de caché)",Memoria RAM: 4GB DDR4 2666 (1x4GB) (Máx. 16GB de Memoria RAM),Tarjeta Gráfica: Intel® UHD,"Pantalla: 15,6"" HD AG LED SVA 220 slim / 1366 x 768 ",Almacenamiento: 1TB 5400RPM HDD ,Sistema Operativo: Windows 10 Home (64bit), $      432.990, $      419.990,https://www.pcfactory.cl//producto/37978-hp-notebook-250-g7-15-6-hd-intel-i3-1005g1-4gb-1tb-windows-10
Pc Factory,"Notebook Dell Inspiron 14"" HD Intel i3-1005G1 4GB 1TB Windows 10",Marca: Dell,"Procesador: Intel® Core™ i3-1005G1, 1,20 GHz hasta 3.4GHz (4MB cache)","Memoria RAM: 4GB DDR4, 2666MHz (Máx. 16GB de Memoria RAM) 2 Slot",Tarjeta Gráfica: Intel® UHD,"Pantalla: 14"" / HD 1366 x 768   Anti-Glare LED","Almacenamiento: 1TB 5400 rpm 2.5"" SATA ",Sistema Operativo: Windows 10 Home (64 bit), $      449.990, $      436.490,https://www.pcfactory.cl//producto/36866-dell-notebook-dell-inspiron-14-hd-intel-i3-1005g1-4gb-1tb-windows-10
