compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook Intel Pentium Gold 8GB RAM 256GB SSD 15.6"" ",Hp,Intel Pentium,8GB,Gráficos Intel UHD 610,15.6 pulgadas,256Gb,Windows 10 Home,,$  429.990 ,https://www.falabella.com/falabella-cl/product/14550860/Notebook-Intel-Pentium-Gold-8GB-RAM-256GB-SSD-15.6-/14550860
Falabella,"Macbook Air 13.3"" Intel Core i5 8GB RAM 128GB SSD ",Apple,Intel Core i5,8GB,Intel HD Graphics 6000,13.3 pulgadas,128Gb,macOS,$  799.990 ,$  749.990 (Oferta),https://www.falabella.com/falabella-cl/product/5771915/Macbook-Air-13.3-Intel-Core-i5-8GB-RAM-128GB-SSD/5771915
Falabella,Notebook 240 G7 Core N4020/4Gb/500Gb/14/W10H ,Hp,Intel Celeron,4GB,N/A,14 pulgadas,No Aplica,,$  429.990 ,$  339.980 (Oferta),https://www.falabella.com/falabella-cl/product/14652389/Notebook-240-G7-Core-N4020-4Gb-500Gb-14-W10H/14652389
Falabella,"Notebook Intel Core i5-10210U 8GB RAM 256GB SSD NVIDIA GeForce MX130 15.6"" ",Hp,Intel Core i5,8GB,NVIDIA GeForce MX130,15.6 pulgadas,256Gb,Windows 10 Home,,$  659.990 ,https://www.falabella.com/falabella-cl/product/14624645/Notebook-Intel-Core-i5-10210U-8GB-RAM-256GB-SSD-NVIDIA-GeForce-MX130-15.6-/14624645
Falabella,"Notebook Intel Core i5 8GB RAM 256GB SSD 13.3"" ",Hp,Intel Core i5,8GB,Gráficas Intel UHD,13.3 pulgadas,256Gb,Windows 10 Home,,$  709.990 ,https://www.falabella.com/falabella-cl/product/8116878/Notebook-Intel-Core-i5-8GB-RAM-256GB-SSD-13.3-/8116878
Falabella,"Notebook Ideapad 3I Intel Core i3-1005G1 4GB RAM 128GB SSD 14"" ",Lenovo,Intel Core i3,4GB,INTEGRATED GRAPHICS,14 pulgadas,128Gb,Windows 10 Home,,$  399.990 ,https://www.falabella.com/falabella-cl/product/13785348/Notebook-Ideapad-3I-Intel-Core-i3-1005G1-4GB-RAM-128GB-SSD-14-/13785348
Falabella,"Notebook Intel Core i5 12GB RAM 512GB SSD 15.6"" ",Acer,Intel Core i5,12GB,UHD Graphics,15.6 pulgadas,512Gb,Windows 10 Home,$  699.990 ,$  629.990 (Oferta),https://www.falabella.com/falabella-cl/product/14433768/Notebook-Intel-Core-i5-12GB-RAM-512GB-SSD-15.6-/14433768
Falabella,Notebook Intel Celeron 4GB 64Gb 14 pulgadas ,Hyundai,Intel Celeron,4GB,Gráficos HD Intel® 500,14 pulgadas,64Gb,Windows 10 Home,,$  259.990 ,https://www.falabella.com/falabella-cl/product/14542840/Notebook-Intel-Celeron-4GB-64Gb-14-pulgadas/14542840
Falabella,"Notebook 15-CW1020LA AMD Ryzen 5 8GB RAM 256GB SSD 15.6"" ",Hp,AMD Ryzen R5,8GB,Gráficos AMD Radeon Vega 8,15.6 pulgadas,256Gb,Windows 10 Home,,$  609.990 ,https://www.falabella.com/falabella-cl/product/14403533/Notebook-15-CW1020LA-AMD-Ryzen-5-8GB-RAM-256GB-SSD-15.6-/14403533
Falabella,"Notebook Aspire 5 Intel Core i3-1005G1 12GB RAM 512GB SSD 15.6"" ",Acer,Intel Core i3,12GB,UHD Graphics,15.6 pulgadas,512Gb,Windows 10 Home,$  549.990 ,$  499.990 (Oferta),https://www.falabella.com/falabella-cl/product/14433770/Notebook-Aspire-5-Intel-Core-i3-1005G1-12GB-RAM-512GB-SSD-15.6-/14433770
